Campaign name,Day,Delivery status,Delivery level,Amount spent (INR),Impressions,"CPM (cost per 1,000 impressions)",Reach,Frequency,CTR (link click-through rate),Video plays,Video plays at 100%,CTR (all),Link clicks,Landing page views,Result Type,Results,Purchase ROAS (return on ad spend),Attribution setting,Cost per result,Reporting starts,Reporting ends
Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,3/17/2024,inactive,campaign,681.39,2202,309.4414,1843,1.194791,2.406903,1918,18,6.13079,53,40,,,,7-day click or 1-day view,,3/17/2024,3/17/2024
Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,3/16/2024,inactive,campaign,403.43,1142,353.2662,1019,1.120707,2.539405,1031,8,5.166375,29,22,,,,7-day click or 1-day view,,3/16/2024,3/16/2024
3dayslive – Copy 2 - Advantage+ shopping campaign,3/8/2024,inactive,campaign,0,0,,0,0,,,,,,,Website purchases,1,,7-day click or 1-day view,0,3/8/2024,3/8/2024
3dayslive – Copy 2 - Advantage+ shopping campaign,3/7/2024,inactive,campaign,0,0,,0,0,,,,,,,,,,7-day click or 1-day view,,3/7/2024,3/7/2024
3dayslive – Copy 2 - Advantage+ shopping campaign,3/6/2024,inactive,campaign,0,0,,0,0,,,,,,,,,,7-day click or 1-day view,,3/6/2024,3/6/2024
Foreign|Sales|Tamil,3/6/2024,inactive,campaign,0,0,,0,0,,,,,,,freewebinarThankyoupage,1,,7-day click or 1-day view,0,3/6/2024,3/6/2024
3dayslive – Copy,3/5/2024,inactive,campaign,0,0,,0,0,,,,,,,,,,7-day click or 1-day view,,3/5/2024,3/5/2024
3dayslive – Copy 2 - Advantage+ shopping campaign,3/5/2024,inactive,campaign,0,0,,0,0,,,,,,,,,,7-day click or 1-day view,,3/5/2024,3/5/2024
3dayslive – Copy 2 - Advantage+ shopping campaign,3/4/2024,inactive,campaign,0,0,,0,0,,,,,,,Website purchases,1,,7-day click or 1-day view,0,3/4/2024,3/4/2024
3dayslive – Copy,3/4/2024,inactive,campaign,0,0,,0,0,,,,,,,,,,7-day click or 1-day view,,3/4/2024,3/4/2024
Foreign|Sales|Tamil,3/4/2024,inactive,campaign,0,0,,0,0,,,,,,,freewebinarThankyoupage,1,,7-day click or 1-day view,0,3/4/2024,3/4/2024
Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,3/3/2024,inactive,campaign,391.27,985,397.2284,869,1.133487,3.756345,892,17,7.208122,37,30,,,,7-day click or 1-day view,,3/3/2024,3/3/2024
3dayslive – Copy 2 - Advantage+ shopping campaign,3/3/2024,inactive,campaign,1520.26,12909,117.7674,12323,1.047553,0.999303,11036,43,2.277481,129,99,Website purchases,8,1.573415,7-day click or 1-day view,190.0325,3/3/2024,3/3/2024
3dayslive – Copy,3/3/2024,inactive,campaign,0,0,,0,0,,,,,,,,,,7-day click or 1-day view,,3/3/2024,3/3/2024
Foreign|Sales|Tamil,3/3/2024,inactive,campaign,0,0,,0,0,,,,,,,freewebinarThankyoupage,3,,7-day click or 1-day view,0,3/3/2024,3/3/2024
Foreign|Sales|Tamil,3/2/2024,inactive,campaign,384.46,2808,136.916,2621,1.071347,0.641026,2488,7,1.851852,18,8,freewebinarThankyoupage,3,,7-day click or 1-day view,128.1533,3/2/2024,3/2/2024
3dayslive – Copy 2 - Advantage+ shopping campaign,3/2/2024,inactive,campaign,1896.02,17766,106.7218,16578,1.071661,0.990656,14968,45,2.054486,176,135,Website purchases,5,0.788494,7-day click or 1-day view,379.204,3/2/2024,3/2/2024
3dayslive – Copy,3/1/2024,inactive,campaign,0,0,,0,0,,,,,,,paid47Second,1,,7-day click or 1-day view,0,3/1/2024,3/1/2024
3dayslive – Copy 2 - Advantage+ shopping campaign,3/1/2024,inactive,campaign,1899.99,17113,111.0261,15080,1.134814,1.472565,14670,63,2.594519,252,209,Website purchases,12,1.888431,7-day click or 1-day view,158.3325,3/1/2024,3/1/2024
Foreign|Sales|Tamil,3/1/2024,inactive,campaign,484.26,3287,147.3258,2983,1.101911,0.973532,2916,7,2.22087,32,18,,,,7-day click or 1-day view,,3/1/2024,3/1/2024
